title,category,code,name,lecturer,grade,class,season,time
2025年度,理工学部,R0051061,知能情報システム工学入門,岡崎　泰久　他,1年,専門科目(A1),後期,月２
2025年度,理工学部,R0051062,情報ネットワーク工学入門,堀　良彰　他,1年,専門科目(A1),後期,金４
2025年度,理工学部,R0051071,基礎化学A,坂口　幸一　他,1年,専門科目(A1),後期,月２
2025年度,理工学部,R0051072,基礎化学B,大渡　啓介　他,1年,専門科目(A1),後期,金４
2025年度,理工学部,R0051081,基礎力学,橘　基,1年,専門科目(A1),後期,金４
2025年度,理工学部,R0051082,現代物理学,青木　一　他,1年,専門科目(A1),後期,月２
2025年度,理工学部,R0051091,機械システム工学概論,只野　裕一　他,1年,専門科目(A1),後期,月２
2025年度,理工学部,R0051092,機械エネルギー工学概論,橋本　時忠　他,1年,専門科目(A1),後期,金４
2025年度,理工学部,R0051111,基礎電気回路,猪原　哲　他,1年,専門科目(A1),後期,金４
2025年度,理工学部,R0051112,基礎電磁気学,豊田　一彦,1年,専門科目(A1),後期,月２
2025年度,理工学部,R0051121,建設力学基礎,帯屋　洋之　他,1年,専門科目(A1),後期,月２
2025年度,理工学部,R0051122,空間設計基礎,三島　伸雄　他,1年,専門科目(A1),後期,金４
2025年度,理工学部,R0051131,応用数理科学,半田　賢司,1年,専門科目(A1),後期,月２
2025年度,理工学部,R0051141,データサイエンス入門,岩﨑　淳　他,1年,専門科目(A1),後期,金４
2025年度,理工学部,R0102011,解析学基礎Ⅰ,日比野　雄嗣,2年,専門科目(A1),前期,木４
2025年度,理工学部,R0102012,解析学基礎Ⅱ,半田　賢司,2年,専門科目(A1),後期,月４
2025年度,理工学部,R0102015,解析学基礎Ⅰ演習,日比野　雄嗣,2年,専門科目(A1),前期,木５
2025年度,理工学部,R0102016,解析学基礎Ⅱ演習,半田　賢司,2年,専門科目(A1),後期,月５
2025年度,理工学部,R0102021,代数学基礎Ⅰ,市川　尚志,2年,専門科目(A1),前期,金２
2025年度,理工学部,R0102022,代数学基礎Ⅱ,市川　尚志,2年,専門科目(A1),後期,金２
2025年度,理工学部,R0102025,代数学基礎Ⅰ演習,市川　尚志,2年,専門科目(A1),前期,金３
